product_info_no,category,content,delivery_fee,info_notice,reg_date,stock,upd_date,view_cnt,product_id
11,취미/특기,"안녕하세요.
제가 진행할 금손 클래스는...
(*르니플로리는 코로나19 바이러스 예방을 위해 수업 전 손 세정 후 장갑, 마스크 착용을 의무화하고 있습니다. 또한 수업이 끝난 후 모든 도구와 집기들을 소독하고 있습니다)



[쫀득한 식감의 화과자 우이로우 만들기]

맵쌀가루,찹쌀가루로 만든 건강하고 쫀득 말랑한 식감의 디저트 화과자 우이로우 입니다 :)

모든 과정 하나하나 내 손으로 정성스럽게 만들어 보아요!

답례품, 명절선물, 상견례등을 위해서 손색이 없는 수제 화과자 입니다!

초보자도 쉽게 내가 이걸 만들었다니! 라는 감탄사가 나올 수 있습니다.

수강생분이 원하시는 색감에 최대한 맞추어 에쁜 색으로 조색, 성형 해 보실 수 있어요!



<우이로우 클래스의 진행 과정>

- 강사 소개 및 화과자에 대한 설명

- 화과자 조색하기

- 화과자 모양내기

- 화과자 총 10구세트 제작하기

- 사진촬영


아늑한 공방에서 여유롭게 배워가실 수 있습니다 ^^


★상시모집입니다. 공지된 일정 외에도 원하시는 날짜,시간 가능합니다.
바이디어 문의를 통해서 원하시는 날짜,시간 문의주세요 ^^


이런 분들에게 추천드려요!
- 소중한 분에게 정성스럽 답례품을 드리고 싶으신 분

- 클래스, 창업을 위해서 배워보고 싶으신 분

- 취미로 배워보고 싶으 신 분",0,클래스 당일 취소나 불참 시 | 환불 불가,2022-12-26 13:38,99,2022-12-26 13:38,0,11
12,취미/특기,"안녕하세요.
제가 진행할 금손 클래스는...


[수업 일정 및 안내]
? 수업 일정은 임의적으로 등록되어 수강 일정 협의 후 수강신청 부탁드립니다 :)
(수강 문의 및 일정 협의는 문의 글 등록해주세요)



? 공방 위치 : 경기도 수원시 팔달구 화양로00번길 10 상가동 8층 

(아파트 단지 내로 들어오시면 안되고 아래 아파트 지하주차장 입구 옆 상가동으로 오셔야 되세요)

? 공방 앞 주차 가능합니다 :)



? 12개 내외 분량의 휘낭시에를 넉넉히 가져가실 수 있습니다.



? 배우시게 될 휘낭시에는 플레인, 초코칩, 소보로 3가지 맛 입니다.



? 포장 상자를 제공해드립니다.

(상자 포장이 되어 선물하기도 좋고 나를 위한 선물로도 Good :D!! )



? 레시피는 제공되지 않습니다.



? 수업은 정시에 시작되며, 수업 시작 10분 전부터 입장 가능합니다.

정시 기준 5분 이상 지각 시 수업 참여가 불가한 점 양해 부탁드립니다.

(다음 수업에 지장이 생길 수 있으니 시간 엄수 부탁드립니다!)



? 소요시간 : 약 1시간





안녕하세요 수원에서 베이킹 클래스를 운영중입니다:).

금괴 모양을 본떠 노릇 노릇 태운 뵈르누아제트를 이용하여 만드는

겉은 바삭 속은 촉촉한 풍미 가득 휘낭시에 원데이 클래스 입니다.



어렵지 않은 레시피로 입문자 분들도 실패 없이 만드실 수 있게 지도해드립니다.



새로운 취미를 배우고 싶으신 분들

직접 만든 정성스러운 선물을 하고 싶으신 분들

우리 아이의 맛있는 간식을 만들어주고 싶으신 분들

홈베이킹을 즐기시는 취미러분들

이색 데이트를 원하는 사랑스러운 커플 분들에게 추천드려요^^



수업 중 사진촬영도 가능하니 소중한 추억 많이 담아가시길 바랍니다 :)",0,클래스 당일 취소나 불참 시 | 환불 불가,2022-12-26 13:44,10,2022-12-26 13:44,0,12
13,핸드메이드,"꼬마곰 석고방향제??+??
(리필오일 미포함제품입니다)

사이즈 ; 가로 3 x 세로 3.8(cm)
(1-3mm 오차가 있을 수 있습니다)

탁상용의 경우 뒷면은 납작한 2D모양이며
차량용의 가로/세로 호환 가능합니다

??추가구성인 꽃과 구름은 차량용으로만 제작되며
합포장 요청시 함께 합포장되어 보내드립니다!
따로낱개 포장요청시에는 추가구성은 선물 포장은 안됩니다??

아주 작고 앙증맞은 사이즈의 방향제이며
1+1으로 두개가 같은 향으로 제작됩니다.
??볼터치의 경우 랜덤이며, 원하시거나 원하시지 않을 경우
꼭 요청사항에 기입해주세요??

더 월등한 발향력을 위해 향이 첨가되어 제작됩니다
무향을 원하시면 요청사항에 꼭 기입해주세요!
(발향력은 맡으시는 분들에 따라 강할수도 약할수도 있어요
늘 같은 용량의 비율로 제작이 됩니다)

칼라가 들어간 석고의 경우 채색이 아닌 조색으로
(눈/토/입 등 미세한곳 제외) 제작시마다 약간의 칼라 차이가 있을 수 있습니다(진하거나 연하거나)



??주문 확인 후 바로 제작이 들어가므로 단순변심으로 인한
교환/환불은 불가능하니 꼭 신중한 주문 부탁드립니다????
1-2일 제작, 배송까지 넉넉히 2-4일 소요됩니다.
(지역 택배물량에 따라 빠를수도 더 늦어질 수도 있습니다)
이 점 꼭 참고 부탁드립니다?????♀?
당일배송 불가능하니 급하신 분들은 피해주세요??


??배송 중 파손시 수령 후 24시간이내로 파손된 제품의 사진을 보내주시면 새 동일제품으로 재발송해드리며
그 이후에는 처리가 불가능하니 참고부탁드립니다??
",3000,제작 / 배송 | 5일 이내 주문 후 제작에 들어가는 작품입니다.,2022-12-27 10:24,20,2022-12-27 10:24,0,13
14,핸드메이드,"안녕하세요^^
녹음카드 45초는 현재 일시품절되었습니다.
입고일은 미정으로 30초만 구매가능합니다.
감사합니다.

??나만의 특별한 카드??
가족과 연인, 그리고 친구에게
따뜻한 마음과 사랑의 담아 전할수 있는 선물 ??

* 제품 색상은 화면 해상도에 따라 다소 차이가 있습니다.

??카세트 테이프 녹음카드????

만나긴 어렵지만
여러분만의 목소리를 담아 특별한 메시지를 전하세요??

?? #커플 #생일 #친구 #부모님 # 졸업선물 #연말선물 ??

- 디자인특허출원등록완료 -
(빈티지 녹음카드에 녹음하는기능과 디자인 특허출원)
카피,도용시 부정경쟁방지법 형사고소등
민형사상의 법적조치 하겠습니다

?사용방법?

??1. 흰색 플라스틱 부분을 뽑아 냅니다^^
??2. 가운데 녹음 버튼을 길게 눌러 ""??띠~"" 소리가 들리면,
??버튼을 누른 상태로 녹음을 시작합니다.
??3.녹음이 끝나면 녹음 버튼에서 손을 떼주세요.
녹음내용은 한번 자동 재생됩니다.
(녹음 시간 30초,45초 선택가능)
??4. 버튼을 다시 짧게 누르면 녹음 내용을 확인할 수 있습니다.

??주의사항??
이 제품은 실제 카세트테이프가 아님으로
여러번 수정하여 녹음할 수 있으나
배터리가 많이 소요될수 있음을 참고 부탁드립니다.

* 겉면은 코팅지 재질이고 플라스틱 재질은 아닙니다.
제품은 배터리 교체 후 지속적으로 사용할 수 있습니다.

?리듐 배터리 CR2032

외부사이즈:10.8*7.2*1.6
내부 사이즈10*6.4",3000,"작품명 | 카세트 테이프 녹음카드, 제조자 / 제조국	| ANNAsSHOP / 한국",2022-12-27 10:28,97,2023-01-07 11:56,0,14
15,핸드메이드,"아르떼 수제비누

6주간 숙성/건조하는 CP 비누입니다
오일 배합부터 비누화까지 직접 작업하여
원재료의 특성을 최대한 보존하였습니다

천연비누 6개이상 구매하시면
친환경 면비누망을 사은품으로 드리고 있습니다^^

*어성초비누*
세정효과가 뛰어난 어성초를 비누에 첨가하면
그 효과가 증폭되어 피부질환을 갖고 계신 분들께 추천
#피부진정 #건성피부 #깊은보습

*유황비누*
세안 후 부들부들한 피부감을 유지하고 싶으신
분들께 만족스러운 비누입니다
#보습관리 #피부탄력 #모공청소

*딸기비누*
지성피부에 피로감으로 어두운 안색이시라면
딸기비누로 피부에 생기를 찾아보세요
#지성피부 #피지조절 #어두운안색

*알로에비누*
알로에의 알로인 성분은 기미,주근깨 여드름자국이
남는 것을 방지하고 알로화이트 성분이 피지분지를
정상화를 도와줍니다
#여드름자국 #기미주근깨 #피부안정

*녹차비누*
트러블로 민감하고 붉어진 피부를 진정시키는 효과가 있고
노폐물과 피지 제거,탄력에 도움을 줍니다
#피부진정 #어두운안색 #피부탄력

*모낭비누*
어성초와 감초분말로 모낭의 세균 감염을
억제&완화를 돕습니다
#모낭염 #피부안정 #지성피부

*아토비누*
아토비누의 주성분인 편백은 제습,향균,면역력 향상
피부질환 개선 등 다방면에 탁월한 효능이 있습니다
#가려운피부 #문제성피부 #피부질환

*쑥비누*
피부진정과 노화방지로 젊은 피부를 유지하는데 도움을 주고
안색을 밝게 만들어주는데에도 효과가 있습니다
#피부진정 #노화방지 #어두운안색

*쌀겨비누*
피부에 자극을 주지 않고 딥클렌징이 가능하고
각질과 블랙헤드,모공의 수가 감소하는 효과를 볼 수 있습니다
#지성피부 #모공관리 #딥클렌징

*숯비누*
흡착력이 좋은 숯가루로 모공 속 피지와 블랙헤드를
조절할 수 있습니다.
#지성피부 #블랙헤드 #피지조절

*코코넛비누*
깊은 촉촉함과 편안함을 주는게 코코넛비누의 매력입니다
무난한 수제 비누를 찾으시는 분들께 추천드리는 비누입니다
#건성피부 #피부진정 #깊은보습

",3000,"용량 또는 중량	| 100g, 제조자 / 제조국 |	아르떼컴퍼니 / 대한민국",2022-12-27 10:31,30,2022-12-27 10:31,0,15
16,핸드메이드,"????볼터치 토끼/곰돌이 케이스+키링 세트
총 길이 : 고리제외 약 3cm

?? 팬던트가 공정상 문제로
색상. 모양의 차이가 조금씩은 있을 수 있습니다 ??


토끼는 베이지 케이스에 핑크색 발바닥
곰돌이는 브라운 케이스에 브라운색 발바닥 입니다 :)

( 케이스 색상 변경 가능하며
원하는 케이스 색을 메세지 보내주시거나
배송 요청사항에 적어주세요 ,
적혀있지 않은경우 토끼는 베이지케이스
곰돌이는 브라운케이스로 제작됩니다 )

제작 케이스는 모두 TPU 케이스로
실리콘+플라스틱 느낌이며
일반 실리콘케이스보다 단단한 느낌입니다 


?? 주문전 주의사항 ??

직접 팬던트를 하나하나 확인하며 작업하지만 
팬던트 공정특성상 미세한 스크래치나 
약간의 이염이 있을 수 있습니다

스크래치나 이염에 예민하신 고객님께서는 
구매전 다시 확인 부탁드립니다

도금제품으로 사용하지 않으실시엔 
공기노출을 막아주세요 ( 지퍼백 ) 

제품에 이상이 있으실시 받으신 후 
3일내 사진과 함께 문의주세요 

단순변심, 교환, 환불의 경우 
고객님께서 배송비를 부담해주셔야 합니다
",3000,제조자 / 제조국 | 챠밍달/대한민국,2022-12-27 10:36,100,2022-12-27 10:36,0,16
17,핸드메이드,"[ Q n A ]
1) 터치가 안돼요, 약해요!!
->부착하신 필름에 따라 터치가 안될 수 있습니다. (강화필름 등)
->> 터치실이 꼬매진 면적과 위치에 따라
간혹 터치가 약하거나 안된다고 느끼실 수 있습니다.
수작업으로 작업되기에, 기계처럼 꼬맬 수가 없습니다.. ㅠ

★★장갑을 받았는데, 터치가 잘 안된다면..
손가락 끝이 아닌, 손가락 바닥(지문쪽)이 닿도록 터치해주세요★★
★★손가락피부-(터치실)-핸드폰액정
이 셋이 서로서로 다 닿을 수 있게 터치를 해주세요!!!


2) 보풀을 어떻게 관리하나요?
->울80% 의 높은 보온성을 지닌 소재로,
마찰에 의해 보풀이 부득이 발생합니다.
보풀제거기를 사용하여 관리해주시는게 제일 좋습니다!
또는 제거해주지 않아도,
보풀은 시간이 지나며 누적됨에 따라 자리를 잡아갑니다.
세탁은 동봉된 주의사항에 따라 관리해주세요^^




(한손 기준)
영어 소문자 기준 10자 이하 - 3,000원
영어 소문자 기준 11 ~ 21자 - 5,000원
?영어 대문자, 한글은 2자로 계산?
ex) Ji Yeon -> 8자
??7~11세?? 키즈장갑도 출시되었어요,♥
'작품 더보기' 로 확인해주세요♥

??작업이 시작되면 취소,교환,환불이 어렵습니다.
신중하게 주문해주세요.
??빠른 배송을 위해, 개별 시안 안내는 어렵습니다.
??자수 문구 내용은 [주문 요청사항]에 꼭 작성해 주세요!!
누락시 제작이 지연 됩니다.


??22년 리뉴얼??

1) 검지터치 종류를 두가지로 선택하실 수 있습니다.
( 레드-아이폰 불가 / 그레이-전기종 가능)

2) 장갑 전체가 두꺼운 중량을 자랑하는 포그니로 변경되었습니다.

3) 가독성이 좋은 폰트로 전체 변경되었습니다.
-지난해의 리뷰사진과 폰트가 달라요.

★★★페이지 하단 설명을 잘 확인해주세요★★★",3000,"소재 | 울80% 나일론20%, 제조자 / 제조국 | 작품상세 표시",2022-12-27 10:40,50,2022-12-27 10:40,0,17
18,핸드메이드,"
♡♡ 배송관련♡♡
12월29일부터 발송가능해요
발송후 1~2일후 수령가능하세요
참고 부탁드려요
.............................

?? 유리구슬 같이 맑고 투명한
풍선 안에 예쁜 꽃을 담았어요 ??

?? 저희 지미스는 생화같은 고급 실크플라워만 사용합니다
.............................

?? 상세 설명 ??


1?? 구 성

? 꽃다발형

? 스탠드형

? 사각박스형

?사각박스형(현금이벤트용)

??반전 용돈박스 이벤트 가능?
메세지카드를 당기면 돈이 주르륵 나와요
♡ opp필름 20장 + 메세지카드
※opp필름: 지폐넣는 비닐

??opp필름 추가구매 원하시는 경우
메세지로 문의주세요^^

?화분형

?화분형(현금이벤트용)

??반전 용돈박스 이벤트 가능?
메세지카드를 당기면 돈이 주르륵 나와요
♡ opp필름 20장 + 메세지카드

?원형용돈박스형
♡ 투명 머니 홀더(17개)

??머니홀더 하나에
지폐3~4장까지 들어갑니다

2?? 레터링 문구

레터링은 약 25자내외 추천합니다^^
(한 줄당 10자이내가 가장 예쁨)
길어지면 글자크기가 작아집니다♡

※주문요청사항에 기재해주세요

3?? 풍선 사이즈
(대) 27 ~ 30cm
(소) 20 ~ 23cm

4?? 레터링 색상

버터플라이라넌-연핑크 : 로즈골드색상
그이외 : 골드색상으로 진행됩니다♡
변경을 원하시면 메세지로 문의하세요

?? 알 림

※ 부피와 포장손상의 우려로
한개당 한박스에 발송되는 상품입니다.
?2개이상 주문시,
따로 결제 부탁드려요??

ㅡㅡㅡㅡㅡㅡㅡㅡㅡ
?? 주의사항

1. 뾰족한 물건과 온도에 주의해주세요
?? 개봉시 칼 사용 절대금지! ??

2. 지미스ZIMIS만의 마감기술로
풍선의 바람이 1~2달 유지 가능합니다
( 환경과 관리에 따라 2달 이상도 가능~?? )

",3000,"작품명 | 다알리아 버블풍선, 제조자 / 제조국	| 지미스ZIMIS / KOREA",2022-12-27 10:44,15,2022-12-27 10:44,0,18
19,핸드메이드,"?? hauolli candle serise ' Forest ??

하우올리의 개인적인 취향을 담은 오브제캔들입니다. 
자연에서 모티브를 얻어 캔들로 제작해냅니다.
여러번의 테스트를 통해 
가장 아름답게 표현되는 컬러와 도형을 디자인 합니다.

? 우드 트레이와 세트인 상품입니다.
우드 트레이는 자연물로 갈라지거나 ,
모양이 각기 다를 수 있는 점 참고해주세요 ! 

?? 선물용이신 경우 옵션에서 “선물용”을 선택해주시면 무료로 선물포장해서 보내드려요. ?? 

불필요한 쓰레기를 줄이기 위하여 
선물용이 아닌 경우는 기본 포장하여 보내드립니다 ??


-

HAUOLI say ,

맑고 청량한 봄, 초여름의 숲 , 고운 옷을 갈아입은 가을의 숲 , 시린 찬 바람이 불어오는 겨울의 숲의 계절색을 담은 포레스트 입니다 : ) 

선자령으로 백패킹하며 보았던 산들이 
아주 큰 그림이 되었어요.
누구의 애씀없이 오로지 자연의 힘으로
물들고 지고.. 다시 생기를 얻기를 반복하는, 
이렇게 아무런 이유도 대가도 없이
자연이 주는 것을 누릴 수 있음이 기뻤습니다.
그 숲과 산의 계절색을 담아보았어요.

가까이에 있는 가장 소중한 것들 , 
자연과 삶의 소소한 것들.
당연하지만 결코 당연한 것이 아닌 것들.

일상 가운데 주어지는 당연한 것들에 대한 
감사의 마음으로 제작한 아이에요. 

매일 아침 우리에게 선물처럼 주어지는 것들 ,
값없이 우리가 마음껏 누릴 수 있는 것들에 대한
감사하는 마음은 늘 간직하고 싶은 마음입니다.

그렇게 제가 보고 느끼는 사계절의 숲을 담아보았습니다.
사계를 그대로 느낄 수 있기를.
숲과 나무가 주는 생명력의 쉼이
그대로 전달되기를 바래봅니다.  :-) 



도형은 오각뿔로만 제작 됩니다 ???????",3000,"용도 및 제형	| 방향용 / 연소형, 제조자 / 제조국 | 하우올리 / 대한민국",2022-12-27 10:47,45,2022-12-27 10:47,0,19
20,핸드메이드,"
??

안녕하세요
차근차근 쌓아가는 감정의 기록
‘차차’ 입니다 :)


??

착용하다가 끊어지면
소원이 이뤄진다는
소원 팔찌에요!

월별 탄생화의 꽃잎과
각 계절의 색감을 담았습니다

꽃모양으로 엮어
포인트 주기도 좋고
친구들과 우정팔찌로도 좋은
예쁜 색들만 골라봤어요 ??


??

제시된 옵션의 컬러 변경도 가능합니다
(예: 국화 가운데 부분 노란색으로 바꿔주세요)

그 외 커스텀 맞춤 제작도 가능하니
컬러 문의는 메세지 주세요 :)


??

자수실로 제작해
물에 젖어도 잘 말라서
착용한 채 샤워해도 괜찮아요!


??

둘레길이 약 13~18cm
길이 조절 가능한 매듭으로
프리사이즈로 제작합니다!

손목에 맞게 조인 후 남는 끈은
옆에 끼워서 착용해주시면 되어요

착용법은 상품 사진 참고해주시고
어려움이 있으시다면 문의 주세요??


??

핸드메이드 제품으로 주문량에 따라
발송까지 1~5일 소요될 수 있습니다!
(주말, 공휴일 제외)

선물용으로 개별표장 요청,
받아보셔야 할 기한이 있으시다면
요청사항 기재 또는 메세지 주세요 :)

**배송은 CJ대한통운으로 발송됩니다**

",3000,"소재 | 실 (면 100%), 제조자 / 제조국 | 차차 / 한국",2022-12-27 10:50,48,2023-01-06 12:52,0,20
21,핸드메이드,"NEW 거품 + 탄산 마블링 배쓰밤

신제품 마블랑 배쓰밤은
풍성한 거품 목욕을 즐기고 싶을때는 거품 입욕제로~
예브게 퍼지는 물색상을 즐기고 싶을때는 탄산입욕제로
보습력이 탁월한 올인원 입욕제입니다.


?? 사용방법	
1. 물을 받지 않은 욕조에 입욕제를 놓아주세요
 2. 수도꼭지로 물을 세게 틀어주세요 
3. 즐겁게 거품목욕 후 물로 가볍게 씻고 타월드라이해 줍니다.

?? 사용기한 또는 개봉 후 사용기간
제조일로부터 12개월

?? 용량 또는 중량	
120g, 130g,170g

??품질보증기준	
본 제품은 공정거래위원회 고시 소비자분쟁해결기준에 의거 교환 또는 보상받을 수 있습니다",3000,제조자 / 제조국 | 바스토리주식회사/한국,2022-12-27 10:56,18,2023-01-06 12:52,0,21
